month,channel,marketing_spend,new_accounts,cac,first_year_contribution,contribution_per_marketing_dollar,payback_months,break_even_cac,classification
2025-09-01,Direct Mail,41.988725,99973.15476190476,420,61.983355952380954,1.4761904761904763,8.129032258064516,620,SYNTHETIC_ASSUMPTION
2025-09-01,Paid Search,36.950078000000005,102639.10555555558,360,60.55707227777779,1.6388888888888888,7.322033898305085,590,SYNTHETIC_ASSUMPTION
2025-09-01,Affiliate / Partner,47.02737200000001,92210.53333333335,510,71.92421600000002,1.5294117647058822,7.846153846153846,780,SYNTHETIC_ASSUMPTION
2025-09-01,Digital / Paid Media,41.988725,107663.39743589744,390,65.67467243589743,1.564102564102564,7.672131147540983,610,SYNTHETIC_ASSUMPTION
2025-10-01,Direct Mail,44.45865,105853.92857142857,420,65.6294357142857,1.4761904761904763,8.129032258064516,620,SYNTHETIC_ASSUMPTION
2025-10-01,Paid Search,39.123612,108676.7,360,64.119253,1.6388888888888888,7.322033898305085,590,SYNTHETIC_ASSUMPTION
2025-10-01,Affiliate / Partner,49.793688,97634.68235294118,510,76.15505223529412,1.5294117647058822,7.846153846153846,780,SYNTHETIC_ASSUMPTION
2025-10-01,Digital / Paid Media,44.45865,113996.53846153847,390,69.53788846153846,1.564102564102564,7.672131147540983,610,SYNTHETIC_ASSUMPTION
2025-11-01,Direct Mail,41.988725,99973.15476190476,420,61.983355952380954,1.4761904761904763,8.129032258064516,620,SYNTHETIC_ASSUMPTION
2025-11-01,Paid Search,36.950078000000005,102639.10555555558,360,60.55707227777779,1.6388888888888888,7.322033898305085,590,SYNTHETIC_ASSUMPTION
2025-11-01,Affiliate / Partner,47.02737200000001,92210.53333333335,510,71.92421600000002,1.5294117647058822,7.846153846153846,780,SYNTHETIC_ASSUMPTION
2025-11-01,Digital / Paid Media,41.988725,107663.39743589744,390,65.67467243589743,1.564102564102564,7.672131147540983,610,SYNTHETIC_ASSUMPTION
2025-12-01,Direct Mail,49.398500000000006,117615.47619047621,420,72.92159523809525,1.4761904761904763,8.129032258064516,620,SYNTHETIC_ASSUMPTION
2025-12-01,Paid Search,43.47068000000001,120751.8888888889,360,71.24361444444445,1.6388888888888888,7.322033898305085,590,SYNTHETIC_ASSUMPTION
2025-12-01,Affiliate / Partner,55.32632000000001,108482.98039215688,510,84.61672470588238,1.5294117647058822,7.846153846153846,780,SYNTHETIC_ASSUMPTION
2025-12-01,Digital / Paid Media,49.398500000000006,126662.82051282053,390,77.26432051282053,1.564102564102564,7.672131147540983,610,SYNTHETIC_ASSUMPTION
